option,# of trans,# of states,fitness,precision,simplicity,generalization,,
,29,22,0.76,0.32,1,0.52,0.45037037,
"{'view': 'set', 'pm4py:param:activity_key': 'concept:name', 'pm4py:param:timestamp_key': 'time:timestamp', 'case_id_glue': 'case:concept:name', 'window': 2, 'direction': 'forward'}",28,18,0.76,0.32,1,0.52,0.45037037,
"{'view': 'multiset', 'pm4py:param:activity_key': 'concept:name', 'pm4py:param:timestamp_key': 'time:timestamp', 'case_id_glue': 'case:concept:name', 'window': 2, 'direction': 'forward'}",29,19,0.76,0.32,1,0.52,0.45037037,
"{'window': 3, 'pm4py:param:activity_key': 'concept:name', 'pm4py:param:timestamp_key': 'time:timestamp', 'case_id_glue': 'case:concept:name', 'view': 'sequence', 'direction': 'forward'}",34,30,0.74,0.6,0.62,0.52,0.662686567,
"{'window': 3, 'view': 'set', 'pm4py:param:activity_key': 'concept:name', 'pm4py:param:timestamp_key': 'time:timestamp', 'case_id_glue': 'case:concept:name', 'direction': 'forward'}",29,22,0.74,0.6,0.62,0.52,0.662686567,
"{'window': 3, 'view': 'multiset', 'pm4py:param:activity_key': 'concept:name', 'pm4py:param:timestamp_key': 'time:timestamp', 'case_id_glue': 'case:concept:name', 'direction': 'forward'}",31,24,0.74,0.6,0.62,0.52,0.662686567,
"{'direction': 'backward', 'pm4py:param:activity_key': 'concept:name', 'pm4py:param:timestamp_key': 'time:timestamp', 'case_id_glue': 'case:concept:name', 'view': 'sequence', 'window': 2}",21,20,0.87,0.82,0.78,0.52,0.844260355,
"{'direction': 'backward', 'view': 'set', 'pm4py:param:activity_key': 'concept:name', 'pm4py:param:timestamp_key': 'time:timestamp', 'case_id_glue': 'case:concept:name', 'window': 2}",21,17,0.87,0.82,0.77,0.52,0.844260355,
"{'direction': 'backward', 'view': 'multiset', 'pm4py:param:activity_key': 'concept:name', 'pm4py:param:timestamp_key': 'time:timestamp', 'case_id_glue': 'case:concept:name', 'window': 2}",21,17,0.88,0.82,0.78,0.52,0.848941176,
"{'window': 3, 'direction': 'backward', 'pm4py:param:activity_key': 'concept:name', 'pm4py:param:timestamp_key': 'time:timestamp', 'case_id_glue': 'case:concept:name', 'view': 'sequence'}",22,22,0.88,0.82,0.78,0.52,0.848941176,
"{'window': 3, 'direction': 'backward', 'view': 'set', 'pm4py:param:activity_key': 'concept:name', 'pm4py:param:timestamp_key': 'time:timestamp', 'case_id_glue': 'case:concept:name'}",20,17,0.87,0.82,0.78,0.52,0.844260355,
"{'window': 3, 'direction': 'backward', 'view': 'multiset', 'pm4py:param:activity_key': 'concept:name', 'pm4py:param:timestamp_key': 'time:timestamp', 'case_id_glue': 'case:concept:name'}",20,17,0.87,0.82,0.77,0.52,0.844260355,
,24,15,0.76,0.25,1,0.52,0.376237624,
{'afreq_thresh': 50.0},4,15,0.95,1,1,0.88,0.974358974,
{'afreq_thresh': 20.0},11,15,0.93,0.54,0.39,0.87,0.683265306,
{'afreq_thresh': 10.0},13,15,0.82,0.43,1,0.87,0.56416,
{'sfreq_thresh': 50.0},9,6,0.88,0.43,1,0.87,0.577709924,
{'sfreq_thresh': 20.0},9,6,0.88,0.43,1,0.87,0.577709924,
{'sfreq_thresh': 10.0},9,6,0.88,0.43,1,0.87,0.577709924,
